source_code,target_code,target_display,target_system,display_zh_tw,is_active
%,%,percent,http://unitsofmeasure.org,百分比 (血氧),true
cm,cm,centimeter,http://unitsofmeasure.org,公分,true
[in_i],[in_i],inch (international),http://unitsofmeasure.org,,true
kg,kg,kilogram,http://unitsofmeasure.org,公斤,true
g,g,gram,http://unitsofmeasure.org,,true
[lb_av],[lb_av],pound (US and British),http://unitsofmeasure.org,,true
Cel,Cel,degree Celsius,http://unitsofmeasure.org,攝氏度,true
[degF],[degF],degree Fahrenheit,http://unitsofmeasure.org,華氏度,true
mm[Hg],mm[Hg],millimeter of mercury,http://unitsofmeasure.org,毫米汞柱 (血壓),true
/min,/min,per minute,http://unitsofmeasure.org,每分鐘 (心跳/呼吸),true
kg/m2,kg/m2,kilogram / (meter ^ 2),http://unitsofmeasure.org,BMI單位,true
m2,m2,square meter,http://unitsofmeasure.org,,true
